Obs,year,nui,ciiu3,region,forpro,fabval,expval,va,emptot,rempag,vstk
1,2001,10000,1511,1,1,11399636,164933,4202373,221,620106,"3,20E+06"
2,2001,10001,1512,1,1,678987,640260,268493,167,131655,236533
3,2001,10002,1810,1,1,50472,0,14470,27,41875,61766
4,2001,10003,1520,1,1,50660,0,44121,9,17117,103357
5,2001,10004,3592,1,1,1355082,0,1967145,60,502000,"5,60E+06"
6,2001,10005,2695,1,1,758028,0,430720,71,237347,296980
7,2001,10006,1541,1,1,210437,0,133184,27,67959,49297
8,2001,10007,2221,1,4,23498,0,19772,15,8988,8036
9,2001,10008,2812,1,1,787937,0,357449,40,236837,18792
10,2001,10009,3610,1,1,28525,0,-2828,6,7977,84335
11,2001,10010,1554,1,3,3929236,0,4558389,136,713289,"9,80E+06"
12,2001,10011,1810,1,1,30428,0,10556,8,14324,47389
13,2001,10012,2693,1,1,320222,0,220041,46,129610,195051
14,2001,10013,2511,1,1,155526,0,78133,12,28231,26184
15,2001,10014,1512,1,1,426060,109182,158440,37,60043,23006
16,2001,10015,3410,1,1,68008454,40645006,19567462,484,4836315,"1,70E+07"
17,2001,10016,2219,1,1,196713,0,157374,20,73798,205372
18,2001,10018,2710,1,1,164439,0,118854,25,92645,337905
19,2001,10019,1541,1,1,143151,0,102891,13,20160,15155
20,2001,10020,1541,1,1,57529,0,25552,6,14782,54945
21,2001,10021,2010,1,1,725737,0,258402,38,127965,297244
22,2001,10022,2899,1,1,448953,25662,239411,60,262731,178917
23,2001,10023,1541,1,1,28481,0,11437,8,13947,720
24,2001,10024,3610,1,1,33448,0,22292,11,23041,75742
25,2001,10027,2912,1,1,23088,0,43549,13,35137,50173
26,2001,10029,3190,1,1,35678,0,29850,6,13789,21258
27,2001,10030,2022,1,1,198071,0,186144,41,91038,123706
28,2001,10031,1541,1,1,72663,0,-1378,8,13054,25367
29,2001,10032,1541,1,1,31850,0,9239,9,16546,10214
30,2001,10033,1810,1,1,168675,0,414837,24,82415,630977
31,2001,10036,3410,1,1,609606,0,16332,7,59169,185669
32,2001,10038,1554,1,1,6118235,0,5862055,163,267798,"5,90E+06"
33,2001,10039,2912,1,1,2115203,0,1823609,15,129850,355721
34,2001,10040,2424,1,1,311510,0,165318,14,53410,181681
35,2001,10041,1730,1,1,46139,0,5249,10,8636,28508
36,2001,10042,2811,1,1,433568,0,167190,47,155040,93305
37,2001,10043,1541,1,1,94670,0,63608,19,41042,33856
38,2001,10044,2219,1,1,63459,0,21165,11,32783,197553
